"Add to Cart","In den Warenkorb"
"Back","Zurück"
"Buy","Kaufen"
"Cart items:","Artikel im Warenkorb:"
"Exit","Beenden"
"Go to Cart","Zum Warenkorb"
"Item Details","Artikel-Details"
"No products found in this category.","Keine Produkte in dieser Kategorie gefunden."
"Out of Stock","Nicht vorrätig"
"Please select a category before shopping.","Bitte wählen Sie eine Kategorie, bevor Sie einkaufen."
"Sell","Verkaufen"
"Sell? What do you mean by sell? We're the shop here...","Verkaufen? Was meinst du mit verkaufen? Wir sind hier das Geschäft..."
"Talk","Sprechen"
"The shopkeeper is always watching...","Der Ladenbesitzer beobachtet dich immer..."
"Welcome to our shop!","Willkommen in unserem Geschäft!"
"What would you like to buy?","Was möchten Sie kaufen?"
"Ah, the %s! This item might do something special...","Ah, das %s! Dieses Item könnte etwas Besonderes bewirken..."
"No refunds, traveler. Good luck out there!","Keine Rückerstattung, Reisender. Viel Glück da draußen!"
"Legends say a lost sword of kings might turn up any day now.","Legenden besagen, dass ein verlorenes Schwert der Könige jederzeit auftauchen könnte."
"Our potions are brewed by a mysterious hermit from afar.","Unsere Tränke werden von einem geheimnisvollen Einsiedler aus der Ferne gebraut."
"Beware of the thieves lurking around at night!","Hüte dich vor den Dieben, die nachts herumschleichen!"
"I heard the dragon from the mountain likes the products here.","Ich habe gehört, dass der Drache vom Berg die Produkte hier mag."
"Loading","Laden"
"Shopkeeper Avatar","Ladenbesitzer Avatar"
