"Add to Cart","Añadir al carrito"
"Back","Volver"
"Buy","Comprar"
"Cart items:","Artículos en el carrito:"
"Exit","Salir"
"Go to Cart","Ir al carrito"
"Item Details","Detalles del artículo"
"No products found in this category.","No se encontraron productos en esta categoría."
"Out of Stock","Agotado"
"Please select a category before shopping.","Por favor, selecciona una categoría antes de comprar."
"Sell","Vender"
"Sell? What do you mean by sell? We're the shop here...","¿Vender? ¿Qué quieres decir con vender? Nosotros somos la tienda..."
"Talk","Hablar"
"The shopkeeper is always watching...","El comerciante siempre está observando..."
"Welcome to our shop!","¡Bienvenido a nuestra tienda!"
"What would you like to buy?","¿Qué te gustaría comprar?"
"Ah, the %s! This item might do something special...","Ah, ¡el %s! Este artículo podría tener un efecto especial..."
"No refunds, traveler. Good luck out there!","No hay reembolsos, viajero. ¡Buena suerte ahí fuera!"
"Legends say a lost sword of kings might turn up any day now.","Las leyendas dicen que una espada perdida de reyes podría aparecer en cualquier momento."
"Our potions are brewed by a mysterious hermit from afar.","Nuestras pociones son elaboradas por un ermitaño misterioso de tierras lejanas."
"Beware of the thieves lurking around at night!","¡Cuidado con los ladrones que rondan por la noche!"
"I heard the dragon from the mountain likes the products here.","He oído que al dragón de la montaña le gustan los productos de aquí."
"Loading","Cargando"
"Shopkeeper Avatar","Avatar del comerciante"
