"Add to Cart","Ajouter au panier"
"Back","Retour"
"Buy","Acheter"
"Cart items:","Articles dans le panier :"
"Exit","Quitter"
"Go to Cart","Aller au panier"
"Item Details","Détails de l'article"
"No products found in this category.","Aucun produit trouvé dans cette catégorie."
"Out of Stock","Rupture de stock"
"Please select a category before shopping.","Veuillez sélectionner une catégorie avant de faire vos achats."
"Sell","Vendre"
"Sell? What do you mean by sell? We're the shop here...","Vendre ? Que voulez-vous dire par vendre ? C'est nous le magasin ici..."
"Talk","Parler"
"The shopkeeper is always watching...","Le commerçant vous surveille toujours..."
"Welcome to our shop!","Bienvenue dans notre boutique !"
"What would you like to buy?","Que voulez-vous acheter ?"
"Ah, the %s! This item might do something special...","Ah, le %s ! Cet article pourrait avoir un effet spécial..."
"No refunds, traveler. Good luck out there!","Pas de remboursement, voyageur. Bonne chance là-bas !"
"Legends say a lost sword of kings might turn up any day now.","Les légendes disent qu'une épée perdue de rois pourrait apparaître à tout moment."
"Our potions are brewed by a mysterious hermit from afar.","Nos potions sont préparées par un ermite mystérieux venu de loin."
"Beware of the thieves lurking around at night!","Méfiez-vous des voleurs qui rôdent la nuit !"
"I heard the dragon from the mountain likes the products here.","J'ai entendu dire que le dragon de la montagne aime les produits ici."
"Loading","Chargement"
"Shopkeeper Avatar","Avatar du commerçant"
