"Add to Cart","Aggiungi al carrello"
"Back","Indietro"
"Buy","Acquista"
"Cart items:","Articoli nel carrello:"
"Exit","Esci"
"Go to Cart","Vai al carrello"
"Item Details","Dettagli dell'articolo"
"No products found in this category.","Nessun prodotto trovato in questa categoria."
"Out of Stock","Esaurito"
"Please select a category before shopping.","Seleziona una categoria prima di fare acquisti."
"Sell","Vendere"
"Sell? What do you mean by sell? We're the shop here...","Vendere? Cosa intendi con vendere? Noi siamo il negozio qui..."
"Talk","Parlare"
"The shopkeeper is always watching...","Il negoziante ti osserva sempre..."
"Welcome to our shop!","Benvenuto nel nostro negozio!"
"What would you like to buy?","Cosa vorresti acquistare?"
"Ah, the %s! This item might do something special...","Ah, il %s! Questo oggetto potrebbe avere un effetto speciale..."
"No refunds, traveler. Good luck out there!","Nessun rimborso, viaggiatore. Buona fortuna là fuori!"
"Legends say a lost sword of kings might turn up any day now.","Le leggende dicono che una spada perduta dei re potrebbe apparire in qualsiasi momento."
"Our potions are brewed by a mysterious hermit from afar.","Le nostre pozioni sono preparate da un eremita misterioso proveniente da lontano."
"Beware of the thieves lurking around at night!","Attenzione ai ladri che si aggirano di notte!"
"I heard the dragon from the mountain likes the products here.","Ho sentito dire che il drago della montagna ama i prodotti qui."
"Loading","Caricamento"
"Shopkeeper Avatar","Avatar del negoziante"
