"Add to Cart","In winkelwagen"
"Back","Terug"
"Buy","Kopen"
"Cart items:","Winkelwagen items:"
"Exit","Afsluiten"
"Go to Cart","Ga naar winkelwagen"
"Item Details","Productdetails"
"No products found in this category.","Geen producten gevonden in deze categorie."
"Out of Stock","Niet op voorraad"
"Please select a category before shopping.","Selecteer een categorie voordat je gaat winkelen."
"Sell","Verkopen"
"Sell? What do you mean by sell? We're the shop here...","Verkopen? Wat bedoel je met verkopen? Wij zijn hier de winkel..."
"Talk","Praat"
"The shopkeeper is always watching...","De winkelier houdt je altijd in de gaten..."
"Welcome to our shop!","Welkom in onze winkel!"
"What would you like to buy?","Wat wil je kopen?"
"Ah, the %s! This item might do something special...","Ah, de %s! Dit item kan iets speciaals doen..."
"No refunds, traveler. Good luck out there!","Geen terugbetalingen, reiziger. Veel succes daarbuiten!"
"Legends say a lost sword of kings might turn up any day now.","Legenden zeggen dat een verloren zwaard van koningen elk moment kan opduiken."
"Our potions are brewed by a mysterious hermit from afar.","Onze toverdranken worden gebrouwen door een mysterieuze kluizenaar van ver weg."
"Beware of the thieves lurking around at night!","Pas op voor de dieven die 's nachts rondsluipen!"
"I heard the dragon from the mountain likes the products here.","Ik hoorde dat de draak van de berg dol is op de producten hier."
"Loading","Laden"
"Shopkeeper Avatar","Winkelier Avatar"
