"Add to Cart","Comprar"
"Back","Voltar"
"Buy","Comprar"
"Cart items:","Itens no carrinho:"
"Exit","Sair"
"Go to Cart","Ir para o carrinho"
"Item Details","Detalhes do produto"
"No products found in this category.","Nenhum produto encontrado nesta categoria."
"Out of Stock","Sem stock"
"Please select a category before shopping.","Por favor, selecione uma categoria antes de comprar."
"Sell","Vender"
"Sell? What do you mean by sell? We're the shop here...","Vender? O que queres dizer com vender? Nós é que somos a loja..."
"Talk","Falar"
"The shopkeeper is always watching...","O lojista está sempre a observar..."
"Welcome to our shop!","Bem-vindo à nossa loja!"
"What would you like to buy?","O que gostarias de comprar?"
"Ah, the %s! This item might do something special...","Ah, o %s! Este item pode ter um efeito especial..."
"No refunds, traveler. Good luck out there!","Sem reembolsos, viajante. Boa sorte por aí!"
"Legends say a lost sword of kings might turn up any day now.","As lendas dizem que uma espada perdida de reis pode aparecer a qualquer momento."
"Our potions are brewed by a mysterious hermit from afar.","As nossas poções são preparadas por um eremita misterioso de terras distantes."
"Beware of the thieves lurking around at night!","Cuidado com os ladrões que rondam à noite!"
"I heard the dragon from the mountain likes the products here.","Ouvi dizer que o dragão da montanha gosta dos produtos daqui."
"Loading","A carregar"
"Shopkeeper Avatar","Avatar do lojista"
